INFO 2025-10-13 02:42:20,099 autoreload Watching for file changes with StatReloader
DEBUG 2025-10-13 02:42:20,944 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1759764563.653859
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\version.py first seen with mtime 1759764563.913106
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\views\decorators.py first seen with mtime 1759764561.483758
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\__init__.py first seen with mtime 1759764563.8866954
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\asgiref\__init__.py first seen with mtime 1759764558.6705446
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\decorators\cache.py first seen with mtime 1759764563.923555
DEBUG 2025-10-13 02:42:20,945 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\asyncio\subprocess.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,946 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\contextvars.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,946 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\urllib3\util\ssl_match_hostname.py first seen with mtime 1759764553.8218381
DEBUG 2025-10-13 02:42:20,946 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\__init__.py first seen with mtime 1759764563.6839669
DEBUG 2025-10-13 02:42:20,946 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\yaml\parser.py first seen with mtime 1759764555.3005552
DEBUG 2025-10-13 02:42:20,946 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1759764561.478028
DEBUG 2025-10-13 02:42:20,947 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1759764563.6330473
DEBUG 2025-10-13 02:42:20,947 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\wsgiref\simple_server.py first seen with mtime 1680673642.0
DEBUG 2025-10-13 02:42:20,947 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1759764554.877832
DEBUG 2025-10-13 02:42:20,948 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1759764563.733998
DEBUG 2025-10-13 02:42:20,948 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\urls\utils.py first seen with mtime 1759764563.8861823
DEBUG 2025-10-13 02:42:20,948 autoreload File D:\ElectroPluz-web-\ElectroPlus-Gateway\storefront\views.py first seen with mtime 1760321467.3134687
DEBUG 2025-10-13 02:42:20,948 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\contrib\staticfiles\management\__init__.py first seen with mtime 1759764563.5935197
DEBUG 2025-10-13 02:42:20,948 autoreload File C:\Users\Juan-PC\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\utils\decorators.py first seen with mtime 1759764563.897028
